ObjectID,GlobalID,Date of Failure,Tree Species,Other,Diameter of Tree,Height of Tree,Condition,Site Factors,Type of Soil,Weather factors,Diameter of Failed Part,Length of Failed Part,Failed Part,Root Failure,Stem Failure,Branch Failure,Location and Percentage of Decay,Decay Present,Other,CreationDate,Creator,EditDate,Editor,Care Factors,x,y
1,2398a7f5-53ef-465d-8602-68b32f1ea69e,12/14/2018 8:00:00 AM,PopulusTrichocarpa,,27,90,Fair,,,"Wind,Rain",5,20,BranchFailure,,,,,,,8/5/2023 12:38:35 AM,jpywell,8/5/2023 12:38:35 AM,jpywell,,-122.287762453687,47.3689265347941
2,3dadaefb-b49c-4a9c-9f9b-9c820e03de22,12/14/2018 8:00:00 AM,AcerMacrophyllum,,34,40,Poor,,,"Wind,Rain",12,40,StemFailure,,CodominantAttachement,,,,,8/5/2023 12:38:35 AM,jpywell,8/5/2023 12:38:35 AM,jpywell,,-122.273674214206,47.2954515676901
3,ebff0833-8b3e-45f7-825f-0c77ed68f453,12/20/2018 8:00:00 AM,PseudotsugaMenziesii,,30,135,Fair,"SoilCompaction,RemovalofNearbyTree",,Wind,30,135,RootFailure,"RootPlateLifted,CutRoots,MechanicalDamage",,,,,,8/5/2023 12:38:35 AM,jpywell,8/5/2023 12:38:35 AM,jpywell,,-122.46728,48.26019
4,d41a5530-0b1c-4bd8-a6aa-50ba94c53e73,12/20/2018 8:00:00 AM,PseudotsugaMenziesii,,30,110,Fair,"SoilCompaction,GradeChanges",,Wind,30,110,RootFailure,"RootPlateLifted,MechanicalDamage,DecayOrganismPresent",,,"Heartwood,Decay>50%",,,8/5/2023 12:38:35 AM,jpywell,8/5/2023 12:38:35 AM,jpywell,,-122.48922,48.15783
5,e820936b-d715-4143-a124-33bc0434d1f8,12/21/2018 8:00:00 AM,PrunusCerasifera,,14,25,Fair,UrbanEnviroment,Clay,Wind,14,25,RootFailure,DecayOrganismPresent,,,"Heartwood,Decay>50%",GanoermaApplanatum,,8/5/2023 12:38:35 AM,jpywell,8/5/2023 12:38:35 AM,jpywell,,-123.19587,49.14986
6,ccfeb87c-62ee-42e6-9c7a-6c967615b65e,12/21/2018 8:00:00 AM,PiceaAbies,,22,60,Fair,UrbanEnviroment,Clay,Wind,22,60,RootFailure,DecayOrganismPresent,,,"Heartwood,Decay<25%",,,8/5/2023 12:38:35 AM,jpywell,8/5/2023 12:38:35 AM,jpywell,,-123.19016,49.15278
7,85f83e19-f2ff-4695-81eb-49d97d2f3d89,12/21/2018 8:00:00 AM,PiceaOmorika,,16,50,Good,UrbanEnviroment,Clay,Wind,16,50,RootFailure,DecayOrganismPresent,,,"Heartwood,Decay>25%",,,8/5/2023 12:38:35 AM,jpywell,8/5/2023 12:38:35 AM,jpywell,,-123.17719,49.15013
8,5cdf7271-f687-4d99-b687-93ef27fef818,12/12/2018 8:00:00 AM,UlmusProcera,,34,80,Fair,,,"Wind,Rain",2,,BranchFailure,,,,,,,8/5/2023 12:38:35 AM,jpywell,8/5/2023 12:38:35 AM,jpywell,,-122.367759883138,47.6276520257818
9,18644d44-f0c6-41d1-a2d0-81d28e122117,12/21/2018 8:00:00 AM,AcerMacrophyllum,,38,45,Poor,,,"Wind,Rain",16,,BranchFailure,,,,,,,8/5/2023 12:38:35 AM,jpywell,8/5/2023 12:38:35 AM,jpywell,,-122.377615836493,47.7124897427284
10,7d5c0497-0098-40c0-b3d3-41bd07dedde7,12/21/2018 8:00:00 AM,SalixLasiandra,,17,75,Poor,,,"Wind,Rain",17,,RootFailure,DecayOrganismPresent,,,,GanoermaApplanatum,,8/5/2023 12:38:35 AM,jpywell,8/5/2023 12:38:35 AM,jpywell,,-122.416882590302,47.6651025602559
