ObjectID,Tree Species,Diameter of Tree,Height of Tree,Condition,Site Factors,Type of Soil,Weather factors,Diameter of Failed Part,Length of Failed Part,Failed Part,Root Failure,Stem Failure,Branch Failure,Location and Percentage of Decay,Decay Present
1,PopulusTrichocarpa,27,90,Fair,None,Dirt,"Wind,Rain",5,20.0,BranchFailure,None,None,None,None,None
2,AcerMacrophyllum,34,40,Poor,None,Dirt,"Wind,Rain",12,40.0,StemFailure,None,CodominantAttachement,None,None,None
3,PseudotsugaMenziesii,30,135,Fair,"SoilCompaction,RemovalofNearbyTree",Dirt,Wind,30,135.0,RootFailure,"RootPlateLifted,CutRoots,MechanicalDamage",None,None,None,None
4,PseudotsugaMenziesii,30,110,Fair,"SoilCompaction,GradeChanges",Dirt,Wind,30,110.0,RootFailure,"RootPlateLifted,MechanicalDamage,DecayOrganismPresent",None,None,"Heartwood,Decay>50%",None
5,PrunusCerasifera,14,25,Fair,UrbanEnviroment,Clay,Wind,14,25.0,RootFailure,DecayOrganismPresent,None,None,"Heartwood,Decay>50%",GanoermaApplanatum
6,PiceaAbies,22,60,Fair,UrbanEnviroment,Clay,Wind,22,60.0,RootFailure,DecayOrganismPresent,None,None,"Heartwood,Decay<25%",None
7,PiceaOmorika,16,50,Good,UrbanEnviroment,Clay,Wind,16,50.0,RootFailure,DecayOrganismPresent,None,None,"Heartwood,Decay>25%",None
8,UlmusProcera,34,80,Fair,None,Dirt,"Wind,Rain",2,40.0,BranchFailure,None,None,None,None,None
9,AcerMacrophyllum,38,45,Poor,None,Dirt,"Wind,Rain",16,34.375,BranchFailure,None,None,None,None,None
10,SalixLasiandra,17,75,Poor,None,Dirt,"Wind,Rain",17,35.0,RootFailure,DecayOrganismPresent,None,None,None,GanoermaApplanatum
11,PseudotsugaMenziesii,21,80,Good,None,Dirt,"Wind,Rain",2,15.833333333333334,BranchFailure,None,None,None,None,None
12,AlnusRubra,12,40,Poor,None,Dirt,"Wind,Rain",12,58.63636363636363,RootFailure,None,None,None,None,None
13,AcerMacrophyllum,35,65,Poor,None,Dirt,"Wind,Rain",35,57.333333333333336,StemFailure,None,DecayPresent,None,None,KretzchmariaDuesta
14,AlnusRubra,15,35,Poor,None,Dirt,"Wind,Rain",7,51.0,StemFailure,None,None,None,None,None
15,SalixScouleriana,10,20,Poor,None,Dirt,"Wind,Rain",10,49.1165611814346,StemFailure,None,None,None,None,None
16,AcerMacrophyllum,28,50,Dead,None,Dirt,Wind,26,57.333333333333336,StemFailure,None,None,None,None,KretzchmariaDuesta
17,AcerMacrophyllum,20,65,Fair,None,Dirt,Wind,10,57.333333333333336,StemFailure,None,None,None,None,KretzchmariaDuesta
